2021-11-07 06:25:54.181598: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcublas.so.10
Episode: 80, Reward: -48.290, Avg Reward :-134.992, Epsilon:0.6663
Episode: 81, Reward: -143.129, Avg Reward :-135.091, Epsilon:0.6630
Episode: 82, Reward: -165.402, Avg Reward :-135.456, Epsilon:0.6597
Episode: 83, Reward: -90.837, Avg Reward :-134.925, Epsilon:0.6564
Episode: 84, Reward: -78.221, Avg Reward :-134.258, Epsilon:0.6531
Episode: 85, Reward: -20.465, Avg Reward :-132.935, Epsilon:0.6498
Episode: 86, Reward: -261.654, Avg Reward :-134.414, Epsilon:0.6466
Episode: 87, Reward: -85.267, Avg Reward :-133.856, Epsilon:0.6433
Episode: 88, Reward: -96.226, Avg Reward :-133.433, Epsilon:0.6401
Episode: 89, Reward: 25.601, Avg Reward :-131.666, Epsilon:0.6369
Episode: 90, Reward: -27.571, Avg Reward :-130.522, Epsilon:0.6337
Episode: 91, Reward: -32.364, Avg Reward :-129.455, Epsilon:0.6306
Episode: 92, Reward: 38.984, Avg Reward :-127.644, Epsilon:0.6274
Episode: 93, Reward: -72.108, Avg Reward :-127.053, Epsilon:0.6243
Episode: 94, Reward: -84.047, Avg Reward :-126.600, Epsilon:0.6211
Episode: 95, Reward: -38.937, Avg Reward :-125.687, Epsilon:0.6180
Episode: 96, Reward: -55.737, Avg Reward :-124.966, Epsilon:0.6149
Episode: 97, Reward: -62.798, Avg Reward :-124.332, Epsilon:0.6119
Episode: 98, Reward: -108.600, Avg Reward :-124.173, Epsilon:0.6088
Episode: 99, Reward: -37.939, Avg Reward :-123.310, Epsilon:0.6058
Episode: 100, Reward: -205.906, Avg Reward :-122.187, Epsilon:0.6027
Episode: 101, Reward: 57.172, Avg Reward :-120.657, Epsilon:0.5997
Episode: 102, Reward: -9.624, Avg Reward :-118.881, Epsilon:0.5967
Episode: 103, Reward: 30.461, Avg Reward :-118.080, Epsilon:0.5937
Episode: 104, Reward: 10.038, Avg Reward :-117.160, Epsilon:0.5908
Episode: 105, Reward: 4.432, Avg Reward :-115.801, Epsilon:0.5878
Episode: 106, Reward: -52.073, Avg Reward :-114.385, Epsilon:0.5849
Episode: 107, Reward: -109.427, Avg Reward :-114.293, Epsilon:0.5820
Episode: 108, Reward: -73.965, Avg Reward :-111.566, Epsilon:0.5790
Episode: 109, Reward: 17.541, Avg Reward :-110.092, Epsilon:0.5762
Episode: 110, Reward: -78.796, Avg Reward :-107.919, Epsilon:0.5733
Episode: 111, Reward: -82.195, Avg Reward :-107.572, Epsilon:0.5704
Episode: 112, Reward: 11.243, Avg Reward :-106.848, Epsilon:0.5676
Episode: 113, Reward: -55.536, Avg Reward :-105.710, Epsilon:0.5647
Episode: 114, Reward: -108.973, Avg Reward :-104.951, Epsilon:0.5619
Episode: 115, Reward: -81.937, Avg Reward :-104.155, Epsilon:0.5591
Episode: 116, Reward: -147.135, Avg Reward :-105.086, Epsilon:0.5563
Episode: 117, Reward: 36.826, Avg Reward :-103.762, Epsilon:0.5535
Episode: 118, Reward: -60.971, Avg Reward :-103.068, Epsilon:0.5507
Episode: 119, Reward: -95.573, Avg Reward :-103.103, Epsilon:0.5480
Episode: 120, Reward: -166.680, Avg Reward :-103.537, Epsilon:0.5452
Episode: 121, Reward: -100.786, Avg Reward :-102.720, Epsilon:0.5425
Episode: 122, Reward: -182.484, Avg Reward :-103.679, Epsilon:0.5398
Episode: 123, Reward: -21.514, Avg Reward :-101.524, Epsilon:0.5371
Episode: 124, Reward: 12.780, Avg Reward :-99.953, Epsilon:0.5344
Episode: 125, Reward: -59.241, Avg Reward :-98.864, Epsilon:0.5318
Episode: 126, Reward: -33.299, Avg Reward :-98.115, Epsilon:0.5291
Episode: 127, Reward: -17.512, Avg Reward :-97.070, Epsilon:0.5264
Episode: 128, Reward: 29.643, Avg Reward :-95.166, Epsilon:0.5238
Episode: 129, Reward: -122.325, Avg Reward :-92.692, Epsilon:0.5212
Episode: 130, Reward: 8.506, Avg Reward :-91.726, Epsilon:0.5186
Episode: 131, Reward: -107.635, Avg Reward :-91.679, Epsilon:0.5160
Episode: 132, Reward: -65.683, Avg Reward :-92.372, Epsilon:0.5134
Episode: 133, Reward: -76.181, Avg Reward :-93.341, Epsilon:0.5108
Episode: 134, Reward: -8.951, Avg Reward :-92.616, Epsilon:0.5083
Episode: 135, Reward: -98.524, Avg Reward :-92.514, Epsilon:0.5058
Episode: 136, Reward: -157.339, Avg Reward :-93.113, Epsilon:0.5032
Episode: 137, Reward: 13.949, Avg Reward :-92.221, Epsilon:0.5007
Episode: 138, Reward: -20.987, Avg Reward :-91.561, Epsilon:0.4982
Episode: 139, Reward: -87.270, Avg Reward :-89.991, Epsilon:0.4957
Episode: 140, Reward: -326.787, Avg Reward :-91.960, Epsilon:0.4932
Episode: 141, Reward: -6.618, Avg Reward :-91.048, Epsilon:0.4908
Episode: 142, Reward: -103.102, Avg Reward :-90.888, Epsilon:0.4883
Episode: 143, Reward: -255.276, Avg Reward :-92.176, Epsilon:0.4859
Episode: 144, Reward: -66.192, Avg Reward :-91.203, Epsilon:0.4834
Episode: 145, Reward: -131.465, Avg Reward :-90.568, Epsilon:0.4810
Episode: 146, Reward: -2.136, Avg Reward :-90.661, Epsilon:0.4786
Episode: 147, Reward: -34.716, Avg Reward :-90.022, Epsilon:0.4762
Episode: 148, Reward: -27.993, Avg Reward :-89.514, Epsilon:0.4738
Episode: 149, Reward: -133.015, Avg Reward :-88.628, Epsilon:0.4715
Episode: 150, Reward: -48.427, Avg Reward :-88.288, Epsilon:0.4691
Episode: 151, Reward: -44.094, Avg Reward :-87.751, Epsilon:0.4668
Episode: 152, Reward: -149.976, Avg Reward :-88.095, Epsilon:0.4644
Episode: 153, Reward: -30.733, Avg Reward :-87.728, Epsilon:0.4621
Episode: 154, Reward: -58.877, Avg Reward :-87.169, Epsilon:0.4598
